prefLog,prefPass,prefName,prefLastName,prefStreet,prefCity,symbol
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,A
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,B
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,C
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,D
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,E
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,F
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,G
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,H
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,I
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,J
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,K
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,L
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,M
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,N
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,O
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,P
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,Q
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,R
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,S
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,T
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,U
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,V
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,W
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,X
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,Y
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,Z
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,a
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,b
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,c
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,d
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,e
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,f
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,g
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,h
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,i
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,j
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,k
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,l
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,m
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,n
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,o
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,p
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,q
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,r
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,s
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,t
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,u
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,v
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,w
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,x
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,y
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,z
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,0
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,1
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,2
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,3
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,4
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,5
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,6
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,7
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,8
testUser,testPass_,testName_,testLastName_,testStreet_,testCity_,9
